Layer,IDs,Label,Parents,Explanation,2nd layer,Description,,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
1,Prevention strategies,Prevention<br>strategies,,Map first layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Consumer protection tools,Consumer<br>protection<br>tools,Prevention strategies,Map 2nd layer to 1st,CPTs,Voluntary tools offered by<br>gambling companies to help<br>their customers manage their<br>gambling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Restrictions,Restrictions,Prevention strategies,Map 2nd layer to 1st,Restrictions,Limits or restrictions on<br>how and what people<br>can gamble on (typically<br>mandated by government),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Environmental design,Product<br>design,Prevention strategies,Map 2nd layer to 1st,ED,Changes to the gambling<br>product or environment<br>that facilitate safer<br>gambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Operator communication,Operator<br>comms,Prevention strategies,Map 2nd layer to 1st,OC,Communication by companies<br>to their customers about<br>safer gambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Public health campaigns,Public<br>health<br>campaigns,Prevention strategies,Map 2nd layer to 1st,PH,Mass regional or national<br> campaigns designed to<br>discourage gambling or<br>promote responsible<br>gambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Self-assessments,Self-<br>assessments,Consumer protection tools,Map 3rd layer to 2nd,CPTs,Online assessments of problem<br>gambling/ gambling harms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Self-imposed limits,Self-imposed<br>limits,Consumer protection tools,Map 3rd layer to 2nd,CPTs,Voluntary limits on expenditure<br>or play time selected by<br>consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Account deactivation,Account<br>deactivation,Consumer protection tools,Map 3rd layer to 2nd,CPTs,Ability to voluntarily deactivate<br>one's account permanently<br>or temporarily ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Financial restrictions,Financial<br>restrictions,Restrictions,Map 3rd layer to 2nd,Restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
